AdmissionNumber,FirstName,LastName,Gender,Form
12345,John,Smith,M,7A
12346,Emma,Johnson,F,7A
12347,Oliver,Williams,M,7B
12348,Sophia,Brown,F,7B
12349,Liam,Jones,M,7C
12350,Noah,Davis,M,7A
12351,Olivia,Miller,F,7A
12352,James,Wilson,M,7A
12353,Ava,Moore,F,7A
12354,William,Taylor,M,7A
12355,Isabella,Anderson,F,7A
12356,Ethan,Thomas,M,7B
12357,Mia,Jackson,F,7B
12358,Lucas,White,M,7B
12359,Charlotte,Harris,F,7B
12360,Benjamin,Martin,M,7B
12361,Amelia,Thompson,F,7B
12362,Harper,Garcia,F,7C
12363,Alexander,Martinez,M,7C
12364,Evelyn,Robinson,F,7C
12365,Henry,Clark,M,7C
12366,Ella,Rodriguez,F,7C
12367,Sebastian,Lewis,M,7C
12368,Scarlett,Lee,F,7C
12369,Jack,Walker,M,7C
